ID,Channel,Content Length,Content
561008389732433923,minecraft,14,I have arrived
561008491225939997,minecraft,42,So what can and can’t I say on this server
561008639394185218,minecraft,20,Can I say I eat ass?
561008666669744138,minecraft,7,Oh dear
561008869774721034,minecraft,53,How come everyone is muted in the discord voice chats
561008995549315075,minecraft,20,Ahhh I speak English
561009092454252545,minecraft,20,Learn to English bro
561009161761193986,minecraft,15,You silly willy
561009432343871501,minecraft,4,Yeet
