ID,Content Length,Content
558761817493602304,35,LFD | NAE | Duo Cup | Mic | be good
558807846171705345,35,LFD | NAE | Duo Cup | Mic | be good
558816915058065432,36,LFD | NAE | Gauntlet | Mic | be good
558817317723832350,36,LFD | NAE | Gauntlet | Mic | be good
558817647668625421,36,LFD | NAE | Gauntlet | Mic | be good
