ID,Channel,Content Length,Content
558761817493602304,lfg-battleroyale-pc,35,LFD | NAE | Duo Cup | Mic | be good
558807846171705345,lfg-battleroyale-pc,35,LFD | NAE | Duo Cup | Mic | be good
558816915058065432,lfg-battleroyale-pc,36,LFD | NAE | Gauntlet | Mic | be good
558817317723832350,lfg-battleroyale-pc,36,LFD | NAE | Gauntlet | Mic | be good
558817647668625421,lfg-battleroyale-pc,36,LFD | NAE | Gauntlet | Mic | be good
