ID,Author,Channel,Content Length,Content
558427659693195265,PotassiumLover,general,3,Hot
558428050107400192,Glitzerate,general,35,i kinda like the dc girls thing doe
558428060869984266,Glitzerate,general,1,😳
558428093321314314,MEE6,r-lodeddiper,0,
558428285244145698,MrDilkington,general,74,I didn't even know about it until like a few days ago_ its an alright show
558428570716995594,WalterClements3232,general,37,just got back from jerking to mc feet
558428605919526912,Sgt Nate V,workshop,49,I was just asking for a little asset I was making
558428634122027029,ImmortalLucario,general,11,God is dead
558428643299164160,raki,spam,42,i love how the biggest words are fuck raki
558428714699063334,raki,spam,25,.wc <@117361819022131206>
558428747364302868,NotSoBot,spam,14,ok_ processing
558428751830974471,>~{ᏩᎡᎪNᎠ}~<,general,82,https://youtu.be/EVD06ezhR0k has anyone watched this video when they were young???
558428757988343817,NotSoBot,spam,0,
558428796626272266,raki,spam,25,.wc <#477823719868203038>
558428798136352778,NotSoBot,spam,14,ok_ processing
558428797846814731,Pokécord,pokecord,0,
558428843870781471,NotSoBot,spam,0,
558428902133989377,>~{ᏩᎡᎪNᎠ}~<,spam,3,Wow
558428945486315520,Glitzerate,general,13,I think I did
558428966667681824,raki,spam,4,fuck
558429120862879774,>~{ᏩᎡᎪNᎠ}~<,general,14,Very nostalgic
558429186344353792,Chris1445,general,55,No_ I remember watching alot of SkyDoesMinecraft though
558429382650232842,raki,general,52,I remember the contrarian kid who thought sky sucked
558429419736399893,raki,general,57,and all he did was scream and bitch and moan about butter
558429932527812613,WalterClements3232,general,0,
558429970838585344,Glitzerate,general,14,It's lit_ fam.
558429989473615891,WalterClements3232,general,2,no
558429996310462475,WalterClements3232,general,8,not that
558430018355855361,WalterClements3232,general,17,but drops bitmoji
558430038647898142,WalterClements3232,general,24,its gives us a good hint
558430112526368798,raki,general,69,<@!220157259781636097> lmao you made a bitmoji bitmojis are ugly lmao
558430158361722906,raki,general,47,I was so saddened when they removed my snap pfp
558430179798548480,raki,general,37,And told me to make a gay ass bitmoji
558430222593163266,raki,general,44,Honestly one of the reasons I don't use Snap
558430260085915659,WalterClements3232,general,9,wait what
558430262409691151,FormulatedMathematic,colonization,11,oh my lordy
558430270924259369,FormulatedMathematic,colonization,8,you lads
558430304793133058,WalterClements3232,general,18,they force you to?
558430313081077775,MrDilkington,general,21,Snap? More like crap!
558430340843175946,raki,general,23,my friends are retarded
558430362280394792,raki,general,41,i try to make them use my discord serverr
558430392307154974,raki,general,45,but they're retarded and think snap is better
558430400377257986,WalterClements3232,general,12,mine too vro
558430493071376416,WalterClements3232,general,15,i have 5 friend
558430519507812352,WalterClements3232,general,16,1 girl likes bts
558430559135596582,WalterClements3232,general,28,1 girl likes instagram memes
558430619265400833,raki,general,22,i have lots of friends
558430639460843550,WalterClements3232,general,48,1 guy likes being emo and looking at magic books
558430655621627904,raki,general,55,but theyre all interconnected in this huge ass alliance
558430688391462912,raki,general,44,and without that alliance im fuckign nothing
558430700118736927,raki,general,18,im just an outcast
558430719450284041,Sgt Nate V,workshop,3,WIP
558430739323158540,MrDilkington,general,101,Invite them to the Noisapalooza_ I'm sure they'll migrate there after seeing all that *great* content
558430742808625183,WalterClements3232,general,23,1 is gay and an asshole
558430770629181452,WalterClements3232,general,9,1 is fine
558430844428091392,raki,workshop,35,jesus what did you do to windows 10
558430888489254922,raki,general,28,<@!439983031290167317> i did
558430920122826774,raki,general,24,I even invited them here
558430928855367692,WalterClements3232,general,74,the rest of the people at my school are cringe normies_ furries_ and chads
558431047969144842,raki,general,31,my circle of 15 friends is cool
558431062892478482,MrDilkington,general,53,What the? I was joking dude. That's pretty cringe vro
558431156081655809,raki,general,23,but outside that circle
558431165770498071,raki,general,19,lots of white cunts
558431172842225674,WalterClements3232,general,52,and by cringe normies i mean terrible taste in memes
558431219436617729,raki,general,22,Mia is a cringe normie
558431256057085952,raki,general,42,everytime she mentions a meme she kills it
558431293822730240,Glitzerate,general,92,Chad middle schooler : Hey angelica_ come by my house with your razor scooter_ and lets talk
558431338076700677,WalterClements3232,general,78,theres this one fat fuck that screams subscribe to pewdiepie all the damn time
558431343755919380,Glitzerate,general,14,and kiss maybe
558431390413357067,raki,general,57,<@!349980985070321664> middle schoolers dont use scooters
558431428036132874,Glitzerate,general,30,oh right <@117361819022131206>
558431428522803211,Sgt Nate V,workshop,20,I used Classic Shell
558431440266723328,Glitzerate,general,11,elementary?
558431442972049439,>~{ᏩᎡᎪNᎠ}~<,general,1,N
558431445660598272,WalterClements3232,general,10,well i did
558431465889595397,raki,general,26,yeah definitely elementary
558431486416650250,WalterClements3232,general,24,elementary chads be like
558431493467275274,WalterClements3232,general,3,uhh
558431521556529173,raki,general,39,also my school is full of  ***THOTS***\
558431550643896320,WalterClements3232,general,12,mine too vro
558431551306596374,>~{ᏩᎡᎪNᎠ}~<,colonization,57,<@!183377229097598977> how many points in tech for tanks?
558431587977396225,FormulatedMathematic,colonization,7,I dunno
558431593405087744,raki,general,25,MY SCHOOL IS THOT CENTRAL
558431595519016965,FormulatedMathematic,colonization,9,A billion
558431643535147030,WalterClements3232,general,48,atleast 60% of the people in my school are thots
558431658009821199,>~{ᏩᎡᎪNᎠ}~<,colonization,3,30?
558431663508422694,raki,general,53,ok not really but theres a lot of basic white btiches
558431687588053003,raki,general,31,who eat at the applebees nearby
558431690188521473,FormulatedMathematic,colonization,10,30 million
558431702263922689,raki,general,28,and go to starbucks and shit
558431739953938452,MrDilkington,general,9,test test
558431764842938368,w334,general,0,
558431808262242344,w334,general,22,This was made by gibby
558431811990978570,WalterClements3232,general,59,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
558431813819957249,raki,general,92,fun fact: the one thing yaboah wants me to do less is complain about the people of my school
558431825261756438,Sgt Nate V,workshop,18,alright here we go
558431826872369163,Pokécord,pokecord,0,
558431843737927681,Sgt Nate V,workshop,32,Greg as a Space Marine from Doom
558431854630535168,>~{ᏩᎡᎪNᎠ}~<,colonization,2,No
558431864457789460,>~{ᏩᎡᎪNᎠ}~<,colonization,2,30
558431890395103242,ImmortalLucario,general,12,Fortnite sex
558431891397541910,Pokécord,pokecord,0,
558431897261309962,raki,general,35,<@!492213435212365825> my ears hurt
558431907226845184,FormulatedMathematic,colonization,7,million
558431909575655435,>~{ᏩᎡᎪNᎠ}~<,colonization,51,<@!183377229097598977> what can I get with 30 tech?
558431917855473695,Desann,pokecord,15,p!catch yanmega
558431918748860416,Pokécord,pokecord,69,Congratulations <@489858517306703892>! You caught a level 10 Yanmega!
558431927430938644,WalterClements3232,general,23,OOOOOOOOOOOOOOOOOOOOOOO
558431930538917900,FormulatedMathematic,colonization,8,fuck off
558431930916536322,Desann,pokecord,13,p!info latest
558431931948335107,Pokécord,pokecord,0,
558431970124759067,raki,general,4,stop
558431990400155649,FormulatedMathematic,colonization,27,Note to slef rebalance tech
558431995017822230,raki,general,33,for the love of god spare my ears
558431995462680576,Desann,general,3,why
558432062294458395,WalterClements3232,general,22,you did it too dumbass
558432063032918026,docwombat,general,4,vruh
558432088504664065,>~{ᏩᎡᎪNᎠ}~<,colonization,24,WHAT CAN I GET GARFRICK?
558432097736589353,docwombat,general,3,wtf
558432101255348226,Desann,general,23,what is walter doing rn
558432141503889412,raki,general,45,but i posted actual messages_ not letter spam
558432147061473303,FormulatedMathematic,colonization,7,I dunno
558432162693644298,docwombat,general,4,stop
558432164526424064,FormulatedMathematic,colonization,7,Bananas
558432181803024385,ImmortalLucario,general,12,Fortnite sex
558432193593212938,Chris1445,general,14,text to speech
558432213419687956,Desann,general,2,oh
558432215931813908,docwombat,general,12,Fortnite sex
558432265344909313,Glitzerate,general,462,Elementary Chad : Has girlfriend they don't tell their parents about_ razor scooter_ very social_ swearing in secretNLMiddle School Chad : Same as before_ they have girlfriend they don't tell their parents about_ social. asshole_ brown hair_ swearing in secretNLHigh School Chad : has sex at the party_ tell parent about their girlfriend_ don't swear in secret_ you can swear without trouble at this point_ bullies people_ school jockey (80s or 90s) Vape_ Smoking_
558432303836299278,raki,general,55,<@!327879674552254464> -pa smells-pa like-pa a woman-pa
558432312828755970,Glitzerate,general,29,**That took so fucking long**
558432348052652072,Sgt Nate V,workshop,24,oh wait forgot some bits
558432349759602689,Pokécord,pokecord,0,
558432434727944225,WalterClements3232,general,48,theres middle school girls with juuls in my area
558432434853773318,docwombat,general,78,<@117361819022131206> -pa jacks-pa off-pa to-pa susie-pa profile-pa picture-pa
558432481163083786,Desann,pokecord,18,p!catch crabrawler
558432481406091277,Pokécord,pokecord,72,Congratulations <@489858517306703892>! You caught a level 22 Crabrawler!
558432536901189634,>~{ᏩᎡᎪNᎠ}~<,colonization,11,No fuck you
558432539992260618,raki,general,35,i mean_ some of them are attractive
558432546720055297,>~{ᏩᎡᎪNᎠ}~<,colonization,12,Give me guns
558432580563763200,WalterClements3232,general,23,the middle school girls
558432587941675018,WalterClements3232,general,2,??
558432620552257546,docwombat,general,49,are you insinuating that my pfp is not attractive
558432623358246954,raki,general,39,this is probably the best one shes used
558432671852789780,ImmortalLucario,general,3,Why
558432682657185812,ImmortalLucario,general,6,Do you
558432683357765634,>~{ᏩᎡᎪNᎠ}~<,general,4,Sexy
558432686364950567,docwombat,general,8,no anime
558432696603246630,ImmortalLucario,general,15,Have that saved
558432698734215168,Sgt Nate V,workshop,0,
558432717260455936,raki,general,60,<@!349980985070321664> middle schoolers dont swear in secret
558432734398382101,WalterClements3232,general,32,time to take raki out of context
558432739091677188,WalterClements3232,general,4,haha
