ID,Server,Channel,Content Length,Content
559058054746734643,Official Fortnite,lfg-battleroyale-pc,63,Need 2 GOOD players for squads NAE  | Dont be toxic_ add Blzxed
561005053788422155,Official Fortnite,lfg-battleroyale-pc,58,NAE | Need decent duo - DONT CARE ABOUT STATS JUST BE GOOD
