ID,Author,Content Length,Content
558807722578018316,Manyaa~,28,https://youtu.be/D1sZ_vwqwcE
558822268764028928,Ace.,25,🚒  <@!172137337692618752>
558822776643780608,(49,2,yo
558822787045916734,(49,18,thats a banger lol
558822843534671872,(49,17,thats pretty sick
558822885171527690,(49,22,for how quick u did it
558822923083972648,Ace.,3,Ye.
558822960996155423,Ace.,48,Its just basically a sketch if you could say so.
558822976867270706,(49,49,can i hit u up with more requests later and stuff
558823049273802824,Ace.,13,Like 75% done
558823075446128660,Ace.,13,Yea of course
558823145067249664,Ace.,49,I enjoy sampling stuff and turning it into beats.
558823208770600966,Ace.,37,Also if your friends have request hmu
558823240085012482,(49,1,👌
558823247123054615,(49,6,thanks
558823317558263830,(49,3,Hmm
558823544356864032,Ace.,15,Ay_ you welcome
558823693351124992,(49,67,have you tried seeing what  it sounds like  with the piano sped up?
558823719695286287,(49,25,like roaring tides itself
558823728943857664,(49,10,kinda like
558823732420804618,(49,36,https://youtu.be/LWRwJlsbZ3o?t=1m41s
558823766243672074,(49,16,as fast  as that
558823801886998528,Ace.,24,I did that at the start.
558823856089989141,Ace.,57,But thought you might wanted to keep the original sounds.
558823915913347082,(49,36,yeah its really true to the original
558823962155548718,(49,24,which is good in a sense
558824009333080064,(49,42,you could really hear it in the background
558824049933811743,Ace.,61,So its normal_ but with a but i pitched it down 500 semitones
558824244318830595,Ace.,12,Aight hol up
558824568605900822,(49,42,yo itd be sick if  you could do these next
558824576864354315,(49,96,https://www.youtube.com/watch?v=J0RZaI3RH2U&t=8s&list=PLLr7fiByfKv7NBTmm7Jw6pSwhPaUxfrbO&index=4
558824620871122965,(49,96,https://www.youtube.com/watch?v=EEuUPaIuldc&t=0s&list=PLLr7fiByfKv7NBTmm7Jw6pSwhPaUxfrbO&index=6
558824626784829460,(49,9,into lofi
558824641938980877,(49,14,might fit well
558824683731025921,(49,16,see what u think
558824944805609475,Ace.,6,Aight.
558825153933344768,Ace.,53,I sped up the verses and left the hooks normal speed.
558825315091218432,incrobe,21,yo that's dope af ace
558825489825923086,Ace.,14,Aye thank you.
558825587029049345,Ace.,43,<@338510603452809217> You got any requests?
558825740372672512,(49,73,damn speeding it up really raises the pitch a lot more than i thought lol
558826094166278174,Ace.,77,@kro the Boredom one is a little hard to sample because its a little scuffed.
558826123899961344,Ace.,27,Its not the original piano.
558826321610932235,kro,3,ohh
558826327923490826,kro,13,yeah ur right
558826475583700995,Ace.,88,If you do_ fx (Deathnote instrumental) it should give you better (cleaner) samples/beats
558826609902223364,incrobe,60,https://www.youtube.com/watch?time_continue=61&v=m3ewe2uF6O4
558826614729867264,kro,55,Its probably better to just remake  it urself tho right
558826622883725323,incrobe,12,maybe that 1
558826624926220316,kro,23,and then work from that
558826673550786590,kro,44,like if u were trying to make a serious beat
558826726659063808,kro,33,though itd be more time consuming
558826881902706728,Ace.,48,I dont have the expensive plugins and pianos rn.
558826925842497537,Ace.,26,My old laptop broke so yea
558828342447570954,kro,33,yeah once you get that full setup
558828352060915722,kro,16,with instruments
558829086147870730,Ace.,1,I
558829099468980224,Ace.,8,i'll try
558830289896603649,Ace.,113,<@338510603452809217> Dont think i can sample that song_ i tried but there aint really no loop points or nothing.
558830362198016001,Ace.,54,Its played like_ ''freehand'' theres no 'order' to it.
558830409815818254,Ace.,44,Im not good enough to sample that basically.
558831281438457856,Ace.,0,
558831406604746752,Ace.,36,Made this earlier What do you think?
558832244752384020,kro,9,8/10 dope
558832510897750028,incrobe,5,agree
558832542518607913,incrobe,43,no worries mate. i just picked a random ost
560622521326764052,antqheh,18,that's really good
560622592269221898,Ace.,3,Aye
560622616910495745,Ace.,18,i like it alot too
560622667934334977,Ace.,47,might have a friend hop on it and rap some bars
560627239654260772,antqheh,17,ey share that too
560951176699576342,Turmanized,28,https://youtu.be/XQEBzauVIlA
