ID,Content Length,Content
558763351304306698,91,looking for  two more for squads | should have 200+ wins and a mic | NA WEST  or EAST | DM!
558871253801500713,76,looking for a duo | should have 200+ wins and a mic | NA WEST  or EAST | DM!
559111183861547048,76,looking for a duo | should have 200+ wins and a mic | NA WEST  or EAST | DM!
