ID,Author,Content Length,Content
558763506225119233,Karaoke Bot for /r/teenagers,0,
558763634948440067,Hide ur kids_ im in town,5,!skip
558763635170738208,Karaoke Bot for /r/teenagers,0,
558763635846152223,BirkIsak,5,!skip
558763637058306092,Karaoke Bot for /r/teenagers,0,
558763815735525407,C0racle,27,!play hakuna matata deutsch
558763826250776577,coolkid324,27,!play United breaks guitars
558763829513682954,Karaoke Bot for /r/teenagers,0,
558763833699860493,Brostekake,5,!skip
558763834979123211,Karaoke Bot for /r/teenagers,0,
558763836883075102,Karaoke Bot for /r/teenagers,72,Now playing in `Karaoke`: `boy pablo - Everytime` added by `ZhaoZentral`
558763840255295499,Karaoke Bot for /r/teenagers,0,
558763842549579806,BirkIsak,5,!skip
558763843015409664,Karaoke Bot for /r/teenagers,0,
558763858525945876,Brostekake,5,!skip
558763859284983833,Karaoke Bot for /r/teenagers,0,
558763866595655683,Hide ur kids_ im in town,5,!skip
558763868684550151,Karaoke Bot for /r/teenagers,0,
558763872148783125,Karaoke Bot for /r/teenagers,80,Now playing in `Karaoke`: `Nødnummer Sangen` added by `Hide ur kids_ im in town`
558763891967131649,coolkid324,27,!play united breaks guitars
558763905539768332,Karaoke Bot for /r/teenagers,0,
558763938875965440,coolkid324,5,!skip
558763939085680647,Karaoke Bot for /r/teenagers,0,
558763943317733378,ZhaoZentral,18,!play fem små aber
558763957209268264,Karaoke Bot for /r/teenagers,0,
558764030567645196,coolkid324,5,!skip
558764031154978837,Karaoke Bot for /r/teenagers,0,
558764135844806656,Karaoke Bot for /r/teenagers,74,Now playing in `Karaoke`: `Eddie Meduza - Epa-Traktorn` added by `C0racle`
558764160662634516,coolkid324,5,!skip
558764160880607234,Karaoke Bot for /r/teenagers,0,
558764178329042954,Brostekake,5,!skip
558764178723176458,Karaoke Bot for /r/teenagers,0,
558764183269802041,BirkIsak,5,!skip
558764183483580437,Karaoke Bot for /r/teenagers,0,
558764186512130098,Karaoke Bot for /r/teenagers,64,Now playing in `Karaoke`: `Nødnummer Sangen` added by `BirkIsak`
558764200684421121,Brostekake,30,!play lisa fikk en hjertestans
558764206221033472,ZhaoZentral,5,!skip
558764206594326559,Karaoke Bot for /r/teenagers,0,
558764213716254761,Brostekake,5,!skip
558764214089547786,Karaoke Bot for /r/teenagers,0,
558764223283593232,Karaoke Bot for /r/teenagers,0,
558764228429873193,coolkid324,5,!skip
558764228836589575,Karaoke Bot for /r/teenagers,0,
558764231114227712,Karaoke Bot for /r/teenagers,90,Now playing in `Karaoke`: `The Lion King - Hakuna Matata [Swedish]` added by `ZhaoZentral`
558764246658449419,Brostekake,5,!skip
558764247186931742,Karaoke Bot for /r/teenagers,0,
558764262093225986,Hide ur kids_ im in town,5,!skip
558764262974160931,Karaoke Bot for /r/teenagers,0,
558764267361402904,coolkid324,5,!skip
558764268032360459,Karaoke Bot for /r/teenagers,0,
558764269714538497,Karaoke Bot for /r/teenagers,85,Now playing in `Karaoke`: `The Lion King - Hakuna Matata (German)` added by `C0racle`
558764283996012555,BirkIsak,5,!skip
558764284432089098,Karaoke Bot for /r/teenagers,0,
558764294376783911,Brostekake,5,!skip
558764294796345344,Karaoke Bot for /r/teenagers,0,
558764299070210080,coolkid324,5,!skip
558764299649024012,Karaoke Bot for /r/teenagers,0,
558764300865372160,Karaoke Bot for /r/teenagers,71,Now playing in `Karaoke`: `United Breaks Guitars` added by `coolkid324`
558764301352173569,Hide ur kids_ im in town,5,!skip
558764301956022284,Karaoke Bot for /r/teenagers,0,
558764337095770121,Brostekake,5,!skip
558764337456742411,Karaoke Bot for /r/teenagers,0,
558764347547975701,Brostekake,10,!play yeet
558764351188893718,BirkIsak,5,!skip
558764351813713940,Karaoke Bot for /r/teenagers,0,
558764355311894570,Tatsumaki,30,🆙  |  **BirkIsak leveled up!**
558764357048205336,Karaoke Bot for /r/teenagers,71,Now playing in `Karaoke`: `United Breaks Guitars` added by `coolkid324`
558764363113168917,Karaoke Bot for /r/teenagers,0,
558764381588946976,Brostekake,5,!skip
