ID,Server,Channel,Content Length,Content
558454824962621463,Official Fortnite,lfg-battleroyale-pc,53,Helping with Challenges | NAW | Team Rumble or Squads
559110471194509330,Official Fortnite,lfg-battleroyale-pc,53,HELPING WITH CHALLENGES | NAW | TEAM RUMBLE OR SQUADS
