ID,Author,Content Length,Content
558763612718628864,Andresian,23,excuse me what the fuck
558763625037299733,Andresian,13,who made this
558765533692952610,Zombie_Pigdragon,6,nodeOS
558766911685525525,SnakePin,95,At least the linux has spears and can do hunting_ nodeos guy can only make shit memes like this
558792079812329544,puppy0cam,0,
558795320293851158,Andresian,48,<@557006338459172874> this is not a fucking meme
558795373070647296,Andresian,62,Its a goddamn reality and there are people promoting this shit
