ID,Channel,Content Length,Content
558811916546342942,minecraft,230,⊂ヽ NL　 ＼＼ Λ＿Λ This is Memecat. HelpNL　　 ＼( 'ㅅ' ) memecat take overNL　　　 >　⌒ヽdiscord by pasting himNL　　　/ 　 へ＼ in 10 other serversNL　　 /　　/　＼＼ or he will neverNL　　 ﾚ　ノ　　 ヽつ be a memeNL　　/　/ NL　 /　/| NL　(　(ヽ NL　|　|、＼ NL　| 丿 ＼ ⌒) NL　| |　　) /NL⊂ヽ'
558811950017019959,minecraft,230,⊂ヽ NL　 ＼＼ Λ＿Λ This is Memecat. HelpNL　　 ＼( 'ㅅ' ) memecat take overNL　　　 >　⌒ヽdiscord by pasting himNL　　　/ 　 へ＼ in 10 other serversNL　　 /　　/　＼＼ or he will neverNL　　 ﾚ　ノ　　 ヽつ be a memeNL　　/　/ NL　 /　/| NL　(　(ヽ NL　|　|、＼ NL　| 丿 ＼ ⌒) NL　| |　　) /NL⊂ヽ'
