ID,Channel,Content Length,Content
559039810539356200,fortnite-general,74,Tsm reacts to the gang gang and aipha destroyin and flexing on all of them
559040062688460800,fortnite-general,16,im so underrated
559040171224596500,fortnite-general,85,im better than you all im so good NL#GOATED  NLchronic will recruit me when they see me
