ID,Server,Channel,Content Length,Content
559049318779060235,Official Fortnite,lfg-battleroyale-pc,46,LF 2 more for the squad; EU_ 18+ y/o_ with mic
559060330140008478,Official Fortnite,lfg-battleroyale-pc,55,LF 2 more for the squad; EU_ classic_ 18+ y/o_ with mic
559077691802910775,Official Fortnite,lfg-battleroyale-pc,72,LF 1 more for the squad; EU_ classic_ 18+ y/o_ with mic_ no kids allowed
559078871366893584,Official Fortnite,lfg-battleroyale-pc,72,LF 1 more for the squad; EU_ classic_ 18+ y/o_ with mic_ no kids allowed
