ID,Server,Channel,Content Length,Content
558446369459929120,Official Fortnite,stream-video-promo,417,<iframe src="https://player.twitch.tv/?channel=powerofgtimes3" frameborder="0" allowfullscreen="true" scrolling="no" height="378" width="620"></iframe><a href="https://www.twitch.tv/powerofgtimes3?tt_content=text_link&tt_medium=live_embed" style="padding:2px 0px 4px; display:block; width:345px; font-weight:normal; font-size:10px; text-decoration:underline;">Watch live video from powerofgtimes3 on www.twitch.tv</a>
558446486720086016,Official Fortnite,fortnite-general,39,join my stream in <#325741139988709377>
558447335001161828,Official Fortnite,fortnite-general,1,a
