ID,Server,Channel,Content Length,Content
558761817493602304,Official Fortnite,lfg-battleroyale-pc,35,LFD | NAE | Duo Cup | Mic | be good
558807846171705345,Official Fortnite,lfg-battleroyale-pc,35,LFD | NAE | Duo Cup | Mic | be good
558816915058065432,Official Fortnite,lfg-battleroyale-pc,36,LFD | NAE | Gauntlet | Mic | be good
558817317723832350,Official Fortnite,lfg-battleroyale-pc,36,LFD | NAE | Gauntlet | Mic | be good
558817647668625421,Official Fortnite,lfg-battleroyale-pc,36,LFD | NAE | Gauntlet | Mic | be good
