ID,Author,Content Length,Content
558441288920465419,peter-,12,Good to know
558450445085835265,Tatsumaki,144,Welcome to /r/SwordArtOnline_ <@!361512605501620225>! Please take a look at <#191865741526564864> for the channel descriptions and server rules.
558458916984586292,FirbeyNoly57,2,hi
558458917961728003,Tatsumaki,34,🆙  |  **FirbeyNoly57 leveled up!**
558465210344538127,Tatsumaki,144,Welcome to /r/SwordArtOnline_ <@!164097377345470464>! Please take a look at <#191865741526564864> for the channel descriptions and server rules.
558465269421572097,Phoenix,7,ya yeet
558473618745720867,Tatsumaki,144,Welcome to /r/SwordArtOnline_ <@!507636783559737365>! Please take a look at <#191865741526564864> for the channel descriptions and server rules.
558757749060665344,Tatsumaki,144,Welcome to /r/SwordArtOnline_ <@!117021626758856712>! Please take a look at <#191865741526564864> for the channel descriptions and server rules.
558764286298685486,Tatsumaki,41,We're sorry to see you leaving_ Kristian!
558777850845724692,🌀NekoYumiYuuki🌀,7,So yeah
558777909603467285,🌀NekoYumiYuuki🌀,38,How long is kirito a part of you life?
558777951269683200,🌀NekoYumiYuuki🌀,16,Mine are 2 years
558778087282573314,emil_jacob,12,1 and a half
558780930475687961,Priest of Welcoming,30,When's the wedding anniversary
558790197085732866,Tatsumaki,35,We're sorry to see you leaving_ Pj!
558796167266172948,Alexan,3,Gay
558796330575593472,Zoht,3,uwu
558796474465386497,Alexan,22,*They're multiplying.*
558801046433038360,Tatsumaki,39,We're sorry to see you leaving_ Alexis!
558824049417912370,Senkai,31,maaan I'm better than ll of you
558837771616124928,IceGam1ng,31,AW and SAO are one in thee same
558837819976450048,IceGam1ng,30,both extensions of one another
558837936175579137,IceGam1ng,73,and they're both preparing for their climax and branching into each other
558838498422030346,Alexan,32,I don't want to believe they are
558838560086556682,Alexan,59,So therefore they are not. <:smugKirito:290535924356612097>
558838808657788938,Arisu,31,<:kiritonut:230098348734939136>
558844741521768448,Tatsumaki,144,Welcome to /r/SwordArtOnline_ <@!391611251408502786>! Please take a look at <#191865741526564864> for the channel descriptions and server rules.
558849557056716808,Tatsumaki,144,Welcome to /r/SwordArtOnline_ <@!428993685540044803>! Please take a look at <#191865741526564864> for the channel descriptions and server rules.
558862705881251851,Tatsumaki,144,Welcome to /r/SwordArtOnline_ <@!283251270586859520>! Please take a look at <#191865741526564864> for the channel descriptions and server rules.
558996062962974745,Tatsumaki,42,We're sorry to see you leaving_ b l a z e!
559011987796000768,MerlinoA,35,question do someone know this song?
559011990530555927,MerlinoA,43,https://www.youtube.com/watch?v=1niZlidhUko
559038091222843433,Relo,14,whats re;zero?
559038194822414358,Siggy,43,Destilled pain and suffering in isekai form
559038253643333664,Siggy,10,It's great
559038289571479562,Relo,21,hm ill give it a look
559038318600257557,Relo,35,i just finished Domestic Girlfriend
559038491443462159,Relo,39,Re:ZERO starting life in another world?
559038539313184792,Siggy,18,Yup_ thats the one
559038599694385154,Relo,32,interesting_ will watch it now 👍
559038635861868564,Siggy,32,It was the shit a few years back
559038675032342528,Relo,25,whats it bascially about?
