ID,Server,Channel,Content Length,Content
558868238818082817,Official Fortnite,lfg-battleroyale-pc,43,Duos | NA | No mic only | Add me on Discord
558868675114041344,Official Fortnite,lfg-battleroyale-pc,43,Duos | NA | No mic only | Add me on Discord
