ID,Channel,Content Length,Content
558756922740965416,lfg-battleroyale-console,55,Duo or Squad [1000+ Wins | 70% Winrate | 10KD | EU PS4]
559047035484110858,lfg-battleroyale-console,55,Duo or Squad [1000+ Wins | 70% Winrate | 10KD | EU PS4]
