ID,Content Length,Content
558756922740965416,55,Duo or Squad [1000+ Wins | 70% Winrate | 10KD | EU PS4]
559047035484110858,55,Duo or Squad [1000+ Wins | 70% Winrate | 10KD | EU PS4]
559089068139347968,55,Duo or Squad [1000+ Wins | 70% Winrate | 10KD | EU PS4]
559089734912049183,55,Duo or Squad [1000+ Wins | 70% Winrate | 10KD | EU PS4]
