ID,Channel,Content Length,Content
559049318779060235,lfg-battleroyale-pc,46,LF 2 more for the squad; EU_ 18+ y/o_ with mic
559060330140008478,lfg-battleroyale-pc,55,LF 2 more for the squad; EU_ classic_ 18+ y/o_ with mic
