ID,Server,Channel,Content Length,Content
558763351304306698,Official Fortnite,lfg-battleroyale-console,91,looking for  two more for squads | should have 200+ wins and a mic | NA WEST  or EAST | DM!
558871253801500713,Official Fortnite,lfg-battleroyale-console,76,looking for a duo | should have 200+ wins and a mic | NA WEST  or EAST | DM!
559111183861547048,Official Fortnite,lfg-battleroyale-console,76,looking for a duo | should have 200+ wins and a mic | NA WEST  or EAST | DM!
559112985642008586,Official Fortnite,lfg-battleroyale-console,76,looking for a duo | should have 200+ wins and a mic | NA WEST  or EAST | DM!
