ID,Author,Content Length,Content
558767792174923819,will h,56,finally finished my pedalboard <:woo:511968284132769802>
558767966012047361,will h,104,i more accurately aligned everything after i took this picture but i’m too lazy to take another one lmao
558767969484800001,Viper,3,Hot
558767986845155339,will h,6,t hank
558768123214561301,will h,90,when i play live it’s mainly worship so i’ll prob have to tape over the big muff logo lmao
558768210951012393,will h,48,big muff was impulse buy though and it very good
558768301010845737,Viper,8,W orship
558768309689122836,Viper,27,<:stare:538236765274767363>
558768827543060495,will h,27,<:stare:538236765274767363>
558768912590962698,will h,37,not o ptimal but steady place to play
558770198061252628,will h,44,synthesizer circle jerk is a wonderful place
558779700609024040,will h,28,https://youtu.be/l0Zmb8ZMB-s
558779829353316393,will h,13,also this one
558779836881960960,will h,28,https://youtu.be/7u6aGKUs2JM
558779845375426561,will h,51,<:woo:511968284132769802> <:woo:511968284132769802>
