ID,Channel,Content Length,Content
560287975347453962,fortnite-general,36,will epic fix ios voice chat in 8.20
560288119816060929,fortnite-general,27,well then make yourself one
560288224032063490,fortnite-general,29,i did the no damage challenge
560288523714822144,fortnite-general,13,no team black
