ID,Author,Channel,Content Length,Content
560287382440771619,Eliazar,general,32,!lyrics bite my tongue relient k
560287383270981674,Rythm,general,54,🔍 **Searching lyrics for ** `bite my tongue relient k`
560287456348340224,Eliazar,general,40,!lyrics face down red jumpsuit apparatud
560287456973553704,Rythm,general,62,🔍 **Searching lyrics for ** `face down red jumpsuit apparatud`
560287629313310724,King Snek,general,66,<@199605025914224641> you put “Mia khalifa” into the lyrics search
560287658044293121,King Snek,general,8,No bueno
560287695134523392,Eliazar,general,18,what's mia kahlifa
560287715665510401,Eliazar,general,1,?
560287858347343872,Eliazar,general,41,<@266683905300496387> what is mia khalifa
560287899631747074,King Snek,general,22,You don’t want to know
560288107832803344,Eliazar,general,7,whyyyyy
560288309805318156,PokestarFan,general,2,oh
560288314301743104,PokestarFan,general,2,no
